,SUID,university,univid,response
0,538.0,Eric Bush University,5c9e7a6834cda4f3677e662b,Internationality
1,2285.0,Curtis Olson University,5c9e373c34cda4f3677e14ef,Practical relevance / professionalization
2,2285.0,Teresa Caldwell University,5c9e7d8334cda4f3677e6b4f,Internationality
3,2285.0,Derek Jones University,5e84b8a01ead1a77be3bd3a8,Soft skills and digital literacy
4,2285.0,Jason Jacobson University,5c9e471734cda4f3677e2ed7,Internationality
5,2285.0,Hannah Walker University,5c9e470b34cda4f3677e2ec5,Specialization
6,2285.0,Jessica Hernandez University,5c9e470a34cda4f3677e2ec3,Practical relevance / professionalization
7,2285.0,Jenna Mills University,5c9e39fd34cda4f3677e1971,Academic excellence
8,2285.0,Angela Cochran University,5c9e49df34cda4f3677e3365,Academic excellence
9,2285.0,Paul Garcia DDS University,5c9e5c9634cda4f3677e44fb,Academic excellence
10,2285.0,Patricia Ferguson University,5c9e637534cda4f3677e503d,Academic excellence
11,2285.0,William Johnson University,5c9e8f7734cda4f3677e795b,Academic excellence
12,2622.0,Lisa Bailey University,5c9e4e9534cda4f3677e3b17,Academic excellence
13,2622.0,Samuel Pruitt University,5c9e7c2734cda4f3677e690f,Academic excellence
14,2622.0,Courtney Erickson University,5c9e5a7e34cda4f3677e418b,Specialization
15,2622.0,Catherine Roberts University,5c9e7d3134cda4f3677e6ac9,Academic excellence
16,2622.0,Tonya Freeman University,5c9e61c234cda4f3677e4d7b,Practical relevance / professionalization
17,2622.0,Catherine Dean University,5c9e49df34cda4f3677e3365,Internationality
18,2622.0,Brandy Preston University,5c9e5c9634cda4f3677e44fb,Academic excellence
19,2622.0,Eduardo Mcintosh University,5c9e637534cda4f3677e503d,Academic excellence
20,2622.0,Catherine Smith University,5c9e637034cda4f3677e5035,Academic excellence
21,2622.0,James Ibarra University,5c9e636a34cda4f3677e502b,Academic excellence
22,2766.0,Timothy Goodwin University,5c9e677634cda4f3677e5643,Specialization
